,wild type,rsks-1,daf-2,daf-2 rsks-1,daf-16; daf-2 rsks-1
EX00253,1.3208583381705029e-17,1.3208583381705029e-17,2.6417166763410058e-17,1.3208583381705029e-17,1.3208583381705029e-17
EXC0161,0.0,0.0,0.0,0.0,0.0
TCE5369,0.0,0.0,0.0,0.0,0.0
TCE5368,0.0,0.0,0.0,0.0,0.0
TCE5361,0.0,0.0,0.0,0.0,0.0
TCE5360,0.0,0.0,0.0,0.0,0.0
TCE5363,0.0,0.0,0.0,0.0,0.0
TCE5362,0.0,0.0,0.0,0.0,0.0
RM01360,0.003966786824883263,0.003966786824883263,0.003989770966259187,0.003990435587790556,0.003966786824883253
TCE5364,0.0,0.0,0.0,0.0,0.0
TCE5367,0.0,0.0,0.0,0.0,0.0
TCE5366,0.0,0.0,0.0,0.0,0.0
EX02512,0.0,0.0,0.0,0.0,0.0
RC02493,0.0,0.0,0.0,0.0,0.0
RC02497,0.0,0.0,0.0,0.0,0.0
TCE0424,0.0,0.0,0.0,0.0,0.0
RC02543,0.0,0.0,0.0,0.0,0.0
RC02017,0.0,0.0,0.0,0.0,0.0
RC02016,0.0,0.0,0.0,0.0,0.0
RC05916,0.0,0.0,0.0,0.0,0.0
RC02019,0.0,0.0,0.0,0.0,0.0
RC02018,0.0,0.0,0.0,0.0,0.0
RC03542,0.0,0.0,0.0,0.0,0.0
RC00899,0.0,0.0,0.0,0.0,0.0
RC03660,0.013063494016274583,0.013063494016274583,0.013063494014358431,0.013063494014303022,0.013063494016274583
RC00893,0.013941573637289864,0.013941573637289864,0.010400393924389746,0.01079241179901851,0.013941573637289867
RC00897,2.000000000000001e-05,2.000000000000001e-05,2.000000000000001e-05,2.000000000000001e-05,2.000000000000001e-05
RC00895,0.0,0.0,0.003541196485433962,0.003149179095808623,0.0
RC00894,0.0,0.0,0.0,0.0,0.0
RC07209,0.0,0.0,0.0,0.0,0.0
RM03856,0.0,0.0,0.0,0.0,0.0
RM03857,0.0062626741344980405,0.0062626741344980405,0.006269175385151164,0.006269363378737444,0.006262674134498035
RM03858,0.005429574134498041,0.005429574134498041,0.005436075385151164,0.005436263378737445,0.0054295741344980355
RM03524,0.0,0.0,0.0,0.0,0.0
RC00945,0.12871815381280508,0.12871815381280508,0.1268752683499186,0.12681188837126273,0.12871815381280596
RC00946,0.0059377933348417795,0.0059377933348417795,0.00593777677970444,0.0059377763009873736,0.0059377933348417795
RC00941,0.0,0.0,0.0,0.0,0.0
RC00943,0.0,0.0,0.0,0.0,0.0
EX00486,0.0,0.0,0.0,0.0,0.0
TCE0333,0.0,0.0,0.0,0.0,0.0
TCE0332,0.0,0.0,0.0,0.0,0.0
RC03302,0.0,0.0,0.0,0.0,0.0
RC04463,0.0,0.0,0.0,0.0,0.0
RC03300,0.0,0.0,0.0,0.0,0.0
TCE0338,0.0,0.0,0.0,0.0,0.0
RC00939,2.1660088062594973e-17,2.1660088062594973e-17,4.3320176125189946e-17,6.498026418778493e-17,6.498026418778493e-17
RC00306,0.0,0.0,0.0,0.0,0.0
EX04598,0.0,0.0,0.0,0.0,0.0
RC04311,0.002095433955032656,0.002095433955032656,0.0020954339861207804,0.002095433987019741,0.002095433955032656
RC03665,0.025907604558260303,0.025907604558260303,0.02590760454820842,0.025907604547917757,0.025907604558260307
RC04313,0.0,0.0,0.0,0.0,0.0
RM03293,0.0,0.0,0.0,0.0,0.0
RM03291,0.0,0.0,0.0,0.0,0.0
RC03161,0.0,0.0,0.0,0.0,0.0
RM03989,0.0,0.0,0.0,0.0,0.0
RC03664,0.002662995733199123,0.002662995733199123,0.0026629957319475495,0.0026629957319113584,0.0026629957331991234
RM03451,0.0,0.0,0.0,0.0,0.0
RCC0102,0.0015263428728738853,0.0015263428728738853,0.001518710284199142,0.0015184895762470675,0.0015263428728738908
RCC0103,0.0,0.0,0.0,0.0,0.0
RCC0101,0.000630425072645485,0.000630425072645485,0.0006152493771583914,0.0006148105487588817,0.0006304250726454962
RCC0106,0.0,0.0,0.0,0.0,0.0
RCC0107,0.0,0.0,0.0,0.0,0.0
RCC0104,0.0,0.0,0.0,0.0,0.0
RC01121,0.0001506571940293792,0.0001506571940293792,0.0001504813340934975,0.0001504762488350151,0.00015065719402937924
RC01920,0.0,0.0,0.0,0.0,0.0
RCC0108,0.0,0.0,0.0,0.0,0.0
RC01923,0.0,0.0,0.0,0.0,0.0
RC05052,0.0,0.0,0.0,0.0,0.0
RC01926,0.0,0.0,0.0,0.0,0.0
RC00417,0.0,0.0,0.0,0.0,0.0
RC00416,0.0062997435052064244,0.0062997435052064244,0.0062997434744050075,0.006299743473514338,0.0062997435052064244
RC01126,0.0,0.0,0.0,0.0,0.0
RM02300,0.0,0.0,0.0,0.0,0.0
RC00093,0.0,0.0,0.0,0.0,0.0
DMN0032,0.0,0.0,0.0,0.0,0.0
DMN0031,0.0,0.0,0.0,0.0,0.0
DMN0030,0.0,0.0,0.0,0.0,0.0
