geo_accession,characteristics_genotype
GSM1263541,wild type
GSM1263542,wild type
GSM1263543,wild type
GSM1263544,wild type
GSM1263545,wild type
GSM1263546,wild type
GSM1263547,wild type
GSM1263548,wild type
GSM1263549,wild type
GSM1263550,rsks-1
GSM1263551,rsks-1
GSM1263552,rsks-1
GSM1263553,rsks-1
GSM1263554,rsks-1
GSM1263555,rsks-1
GSM1263556,rsks-1
GSM1263557,rsks-1
GSM1263558,rsks-1
GSM1263559,daf-2
GSM1263560,daf-2
GSM1263561,daf-2
GSM1263562,daf-2
GSM1263563,daf-2
GSM1263564,daf-2
GSM1263565,daf-2
GSM1263566,daf-2
GSM1263567,daf-2
GSM1263568,daf-2 rsks-1
GSM1263569,daf-2 rsks-1
GSM1263570,daf-2 rsks-1
GSM1263571,daf-2 rsks-1
GSM1263572,daf-2 rsks-1
GSM1263573,daf-2 rsks-1
GSM1263574,daf-2 rsks-1
GSM1263575,daf-2 rsks-1
GSM1263576,daf-2 rsks-1
GSM1263577,daf-2 rsks-1
GSM1263578,daf-16; daf-2 rsks-1
GSM1263579,daf-16; daf-2 rsks-1
GSM1263580,daf-16; daf-2 rsks-1
GSM1263581,daf-16; daf-2 rsks-1
GSM1263582,daf-16; daf-2 rsks-1
GSM1263583,daf-16; daf-2 rsks-1
GSM1263584,daf-16; daf-2 rsks-1
GSM1263585,daf-16; daf-2 rsks-1
GSM1263586,daf-16; daf-2 rsks-1
GSM1263587,daf-16; daf-2 rsks-1
