,reference_capacity
EX00253,0.0026262357994598245
EXC0161,0.01783682312637368
TCE5369,0.01726648901216786
TCE5368,1e-06
TCE5361,0.08026570406868082
TCE5360,0.07020095597380324
TCE5363,0.10234100744252826
TCE5362,0.014201950371132071
RM01360,2.5760738878470315
TCE5364,1e-06
TCE5367,0.0992357879251337
TCE5366,1e-06
EX02512,0.09652273706754928
RC02493,2.0000000000000005e-05
RC02497,1e-06
TCE0424,0.020968158501039835
RC02543,0.008799773325922508
RC02017,0.715728579189097
RC02016,0.7208469156228905
RC05916,0.005226596683034643
RC02019,0.7152876947895296
RC02018,0.717875068784171
RC03542,0.3030742209413335
RC00899,1.2842512650988949
RC03660,0.013205435671528149
RC00893,0.017266489012167867
RC00897,0.7705767590593592
RC00895,0.7794205118182056
RC00894,1.2842512650989184
RC07209,1e-06
RM03856,1.8829943622106144
RM03857,1.8893516893794213
RM03858,0.17675772918203686
RM03524,0.09652273706754684
RC00945,1000.0
RC00946,0.23780648356854836
RC00941,0.5268414307035206
RC00943,998.0166404387724
EX00486,1e-06
TCE0333,0.08878562049141327
TCE0332,1e-06
RC03302,999.9999999999999
RC04463,0.07576855523550623
RC03300,1000.0
TCE0338,0.05464003224057795
RC00939,1000.0
RC00306,1e-06
EX04598,0.008787638874826222
RC04311,0.26762003558010133
RC03665,0.025907604436773802
RC04313,0.007871337013692251
RM03293,1000.0000000000002
RM03291,1000.0
RC03161,1e-06
RM03989,1.8829943622145033
RC03664,0.0026629955749144073
RM03451,0.00787133701369225
RCC0102,0.5150640706083094
RCC0103,0.15139243489623053
RCC0101,0.2031845836754786
RCC0106,0.0017870188641916727
RCC0107,0.008855653442012792
RCC0104,0.1375983498323597
RC01121,0.05198011336082406
RC01920,0.03193507754420729
RCC0108,0.10328520261311488
RC01923,0.14818283828137732
RC05052,0.29705534758731533
RC01926,2.5685025301734354
RC00417,0.5334433821257049
RC00416,2.5742534312347534
RC01126,2.589303376188123
RM02300,1.9263768976274307
RC00093,2.579899316075428
DMN0032,0.0017870188641916727
DMN0031,0.008439677857711145
DMN0030,0.001141893358137906
RCC0213,0.01783682312632145
DMN0035,0.021173393878416116
DMN0034,0.03193507754398034
DMN0039,0.004540637501208801
DMN0038,1e-06
RCC0218,0.014649253974397178
RCC0219,0.01464925397462064
RC01855,2.5685025302081557
RC01321,2.5725680792413836
RC01326,0.031289636878279625
EX00001,1.3947685059212855
RCC0078,0.011660527442942423
RCC0079,0.8561675100634311
RCC0076,7.174152096639616e-06
EX00344,0.006041908547663722
RCC0074,0.01726648901216786
EX00346,0.12464955614686832
RCC0072,0.20449373915559144
RCC0073,0.17283283927796295
RCC0070,0.10363151499637936
RCC0071,0.20449373915603064
RC00529,1.284251265105303
TCM0144,0.3604163027831469
TCE5365,0.09103836591581009
RC00527,0.3669289328828651
RC00525,0.0024099506500189377
TCE0795,1e-06
DGR0017,0.0008331
DGR0016,0.0008331000000000205
DGR0015,0.0008331
DGR0014,0.0008330999999999999
DGR0013,0.0008331
DGR0012,0.0027377000000000005
DGR0011,0.0027377
DGR0010,0.009974500000000002
RC06259,0.005290595478490086
RC06258,0.005290595478668527
DGR0019,0.009691494375200001
DGR0018,0.009691494375200001
RC01218,1000.0
TCE6001,1e-06
TCE6002,1e-06
TCM0212,1000.0
RM00216,3.852753795275672
TCM0210,0.12735937426124871
TCM0216,1e-06
TCM0217,1000.0
RC00631,0.26570715829553754
TCM0215,1e-06
TCM0218,1e-06
TCM0219,1e-06
RC05050,0.4290799465128886
EX00295,0.1126144067092974
EX00294,0.049469677691540884
EX00577,0.09923578792527635
BIO0104,0.06906495505834935
BIO0105,0.06702058170535509
BIO0106,0.06660789389867854
BIO0107,0.0693836999314163
BIO0100,0.06921161473027343
BIO0101,0.07029389168039678
BIO0102,0.06923687548606189
BIO0103,0.07072940980391511
EX00124,0.05464003224074015
EX00127,0.008633244506083944
EX00121,1e-06
EX00123,0.010286614105372871
EX00122,0.11675011500642257
RM00371,1000.0
EX00906,0.07020095597276875
TCM0108,1e-06
TCM0109,1000.0
TCM0106,0.047119381231653934
TCM0107,1e-06
TCM0104,1000.0
TCM0105,1000.0
TCM0101,1000.0
EX00575,0.047382581146933264
TCE0658,1e-06
EX00212,0.04898019391784548
RC02222,0.1114268116387527
EX00631,0.1306018235695516
EX00632,0.0026262357994502558
RC09845,1.4348304193012063e-05
RC09844,2.1522456289892146e-05
TCE5376,0.01726648901216082
TCE5377,1e-06
TCE5374,0.36692893288912093
TCE5375,0.047382581146661704
TCE5372,0.11910612414476579
TCE5373,7.638652622605323e-05
TCE5370,0.10412848095361177
TCE5371,0.30822030361887987
TCE5378,0.005464613878062354
TCE5379,0.005776104358700421
TCE0788,0.05032235948502519
RM04188,0.07228213037968226
TCE1309,0.0634529406668128
TCE1308,0.08795899384272962
TCE1307,0.00787133701369225
TCE1306,0.2178007075510209
TCE1305,0.05871764658719974
TCE1304,1000.0000000000002
TCE1303,0.06490284905297981
RM00199,1.9397808377483228
TCE1301,1.4648369300980426
TCE1300,0.12788965582543046
EX06001,1e-06
EX02076,0.04768584631930314
RC02173,0.002626235799459825
RC02484,0.7227183530419682
RC02485,0.5703342454105804
TCE0430,2.0000000000000005e-05
RM08505,1e-06
RMC0058,0.1567958022194466
RMC0054,0.017266489012167867
RC03018,2.0000000000000005e-05
RC02003,0.004621046327058428
RM04742,0.17759082918200966
RC02556,1.309865019928093
RC02557,1.307807646346284
RC00888,0.00472209781209261
RM01648,0.5334433821276048
RC03755,2.568502530197781
TCE5069,2.0000000000000005e-05
RC00885,0.05233745711974844
RC07218,1e-06
TCE5066,2.0000000000000005e-05
EX02679,0.0008331
RC07211,0.004682790365505363
RC07212,0.007573851998319216
RC07213,0.0026262357994598254
TCE0544,0.10234677117633824
RC05577,0.030783748261164062
RC03681,25.68502530194586
RC00959,2.5583633031640685
TCE1137,0.13060182356938269
EX04853,0.01160930989923363
RC07387,0.24079711220605238
RC03376,0.00031394127340238746
TCE0329,0.01595404157178416
EX00208,1e-06
RC04262,1e-06
RC01054,0.6449748290173103
EX04722,1e-06
RC08539,1000.0
RC04321,0.26570715829634234
RC04323,0.0026262357994598254
RC04325,1000.0
RC04326,1000.0000000000001
RM00261,0.5334433821268281
RC01051,1e-06
EX05455,1e-06
RC01132,2.5685025302010986
RC01130,2.589303376215244
RC01137,2.568101119708026
EX00178,0.07682368766895971
RC01135,2.568502530184269
RC01134,2.5876868000761917
RC01138,2.568502530189435
RC04742,0.12692993512943845
RC05692,0.004722097812099752
RM03646,0.004663323750841748
RC03991,0.1328535791481664
RM03648,0.0033801128773605013
DMN0020,0.5334433821276519
DMN0021,0.017266489012167874
DMN0022,0.0004389000000000002
DMN0023,0.00043890000000000064
DMN0024,0.0006250000000000001
DMN0025,2.0000000000000005e-05
DMN0026,1e-06
DMN0027,1e-06
RC00089,2.5685025301904227
RMC0126,0.13060182356939987
RC01863,2.6037084199743354
RC09085,2.5794408031659426
RC01681,0.008633244506083937
RC01682,0.01726648901216787
RCC0009,0.01726648901216786
RC01049,2.5708148520172993
EX00352,0.05378494050095493
RCC0001,1000.0
RC01041,1000.0
EX00355,0.007573851998319211
TCE1297,0.11937112847305734
RM00513,1.9263768976512818
RC04496,7.174152096637768e-06
DGR0004,0.027134959320800008
DGR0005,0.012921200000000002
DGR0006,0.10000000000000002
DGR0007,0.10000000000000002
DGR0001,0.5037126000000001
DGR0002,0.06360310000000002
DGR0003,0.009974500000000002
RM08759,1e-06
DGR0008,0.5037126000000001
DGR0009,0.06360310000000001
RC01269,0.002626235799459826
RC01268,0.8599664386905467
RC01262,2.5685025301991775
RC01595,0.011834565165918473
RC01266,0.5334433821269114
EXC0152,1e-06
EX00750,0.02117339387864117
RM00209,0.526841430704387
EXC0159,0.014649253974518732
SNK0016,0.02857766670334737
SNK0014,0.005956891595295846
SNK0012,0.05464003224071155
SNK0013,0.027320016120447304
RC01463,1e-06
RC01468,1.2865221963728428
EX00132,1e-06
EX00133,1e-06
RC01665,0.56780577948218
RC01664,0.570334245408829
RC01663,0.5703342454108625
EX00137,0.05464003224089371
EX00134,0.06490284905301348
EX00135,0.002409950650020384
RC08981,2.568502530190091
RM00342,1000.0
RM00344,1.9397808376883023
TCM0173,1.9263768976638784
TCM0172,1000.0
TCM0171,1000.0
TCM0170,1e-06
TCM0177,0.07228213037992404
TCM0176,1.3543263113028796e-05
TCM0175,1000.0
TCM0174,2.0000000328796115e-05
BIO0005,0.02552764782117
BIO0004,0.001352982880142805
BIO0007,0.013448068288609762
BIO0006,0.030960017188420907
BIO0001,0.09546993016129081
BIO0003,0.0156396191441796
BIO0002,0.36135714950549463
BIO0009,0.0048581205288676065
BIO0008,0.010754972595965227
EX01717,0.0026262357994500597
EX01083,0.02732001612037103
TCE0745,1e-06
TCE5093,0.08696289829370306
TCE5092,0.051029851593812604
RM04807,1e-06
TCE5097,1.2842512651438602
TCE5096,0.007573851998319213
RMC0119,0.008855653442066928
RMC0118,0.008855653442012792
RMC0117,0.11391750287916186
RMC0116,0.13060182356796055
RMC0115,0.1767577291815686
RMC0114,0.055837011525310794
RMC0113,0.05583701152592522
RMC0112,0.050035763575101956
RMC0111,0.0631598982840237
RMC0110,0.08111060621611389
TCE5303,2.5685025301753552
TCE5302,0.041710684122418774
TCE5301,0.04853492566840387
TCE5300,0.025884765389356915
RC02367,1e-06
TCE5306,1e-06
TCE5305,1e-06
RC02364,1e-06
TCE5309,1e-06
TCE5308,1e-06
EX01888,0.10412848095396715
EX01885,0.01580453470086896
EX05984,0.08145538003098857
TCE0474,0.011660527442906785
TCM0195,1e-06
TCE1310,1000.0
TCE1311,0.18650967027071957
TCE1312,1000.0
RM00833,1.051272434110213
RC02103,0.7360385658321995
RC02102,2.5708148520160523
RC02101,0.3236750621366283
RC02100,2.568502530197775
RC02107,0.770550759059346
RMC0028,0.004520637501154388
RMC0023,2.0000000000022682e-05
RMC0027,2.000000000000001e-05
RMC0026,0.004576667087702004
RMC0024,2.000000000000001e-05
RM00239,1.9263768976484645
RC05979,0.005290595478628524
TCE0687,1000.0
RC05973,0.005290595478585725
RC05972,0.005290595478628481
TCE5415,2.56850253019786
RC05970,0.005290595478628447
RC07041,0.011660527442906462
RC05976,0.005290595478628449
TCE5411,0.02117339387852192
TCE5410,0.03193507754421433
RC03219,0.0036269556865162187
RC03749,2.5685025301978666
EX00330,0.05032235948502603
RM01655,1000.000000000003
RC02619,0.01726648901227856
RM02050,0.32573243573187044
RM02055,0.5268414307035392
RC03361,1.284251265107598
RC03362,2.568502530159173
RC03363,2.5685025301967546
RC04404,2.5685025301967723
RC05802,2.5685025301516813
TCE0352,0.011834565165870782
RC00328,2.5685025301517057
RC00987,0.0026262357994598254
RC00988,0.0026262357994598254
RC04620,0.05266953985298217
RC08183,0.01183456516598251
RC03181,0.007573851998319213
